check_id,metric,authoritative_source,expected_value,thesis_output,absolute_difference,tolerance,status
weak_post_selection_3_wilson95_lower,wilson95_lower,results/validation/r500_phase2/coverage_uncertainty.csv,0.8246696707,0.8246696707,0,1e-12,passed
weak_post_selection_3_wilson95_upper,wilson95_upper,results/validation/r500_phase2/coverage_uncertainty.csv,0.8858711025,0.8858711025,0,1e-12,passed
weak_post_selection_4_conditional_coverage,conditional_coverage,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.868,0.868,0,1e-12,passed
weak_post_selection_4_coverage_denominator,coverage_denominator,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,500,500,0,1e-12,passed
weak_post_selection_4_coverage_gap,coverage_gap,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,-0.082,-0.082,0,1e-12,passed
weak_post_selection_4_rmse,rmse,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,1.279251101,1.279251101,0,1e-12,passed
weak_post_selection_4_mean_cr_length,mean_cr_length,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,3.243698461,3.243698461,0,1e-12,passed
weak_post_selection_4_wilson95_lower,wilson95_lower,results/validation/r500_phase2/coverage_uncertainty.csv,0.8355045607,0.8355045607,0,1e-12,passed
weak_post_selection_4_wilson95_upper,wilson95_upper,results/validation/r500_phase2/coverage_uncertainty.csv,0.8948837201,0.8948837201,0,1e-12,passed
weak_post_selection_5_conditional_coverage,conditional_coverage,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.87,0.87,0,1e-12,passed
weak_post_selection_5_coverage_denominator,coverage_denominator,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,500,500,0,1e-12,passed
weak_post_selection_5_coverage_gap,coverage_gap,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,-0.08,-0.08,0,1e-12,passed
weak_post_selection_5_rmse,rmse,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.8402886552,0.8402886552,0,1e-12,passed
weak_post_selection_5_mean_cr_length,mean_cr_length,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,2.50215833,2.50215833,0,1e-12,passed
weak_post_selection_5_wilson95_lower,wilson95_lower,results/validation/r500_phase2/coverage_uncertainty.csv,0.8376779927,0.8376779927,0,1e-12,passed
weak_post_selection_5_wilson95_upper,wilson95_upper,results/validation/r500_phase2/coverage_uncertainty.csv,0.8966797896,0.8966797896,0,1e-12,passed
weak_dml_1_conditional_coverage,conditional_coverage,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.918,0.918,0,1e-12,passed
weak_dml_1_coverage_denominator,coverage_denominator,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,500,500,0,1e-12,passed
weak_dml_1_coverage_gap,coverage_gap,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,-0.032,-0.032,0,1e-12,passed
weak_dml_1_rmse,rmse,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.8394770893,0.8394770893,0,1e-12,passed
weak_dml_1_mean_cr_length,mean_cr_length,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,2.928560026,2.928560026,0,1e-12,passed
weak_dml_1_wilson95_lower,wilson95_lower,results/validation/r500_phase2/coverage_uncertainty.csv,0.8906445762,0.8906445762,0,1e-12,passed
weak_dml_1_wilson95_upper,wilson95_upper,results/validation/r500_phase2/coverage_uncertainty.csv,0.9389812427,0.9389812427,0,1e-12,passed
weak_dml_2_conditional_coverage,conditional_coverage,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.926,0.926,0,1e-12,passed
weak_dml_2_coverage_denominator,coverage_denominator,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,500,500,0,1e-12,passed
weak_dml_2_coverage_gap,coverage_gap,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,-0.024,-0.024,0,1e-12,passed
weak_dml_2_rmse,rmse,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.6225996839,0.6225996839,0,1e-12,passed
weak_dml_2_mean_cr_length,mean_cr_length,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,2.221789815,2.221789815,0,1e-12,passed
weak_dml_2_wilson95_lower,wilson95_lower,results/validation/r500_phase2/coverage_uncertainty.csv,0.8996646989,0.8996646989,0,1e-12,passed
weak_dml_2_wilson95_upper,wilson95_upper,results/validation/r500_phase2/coverage_uncertainty.csv,0.9458391261,0.9458391261,0,1e-12,passed
weak_dml_3_conditional_coverage,conditional_coverage,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.928,0.928,0,1e-12,passed
weak_dml_3_coverage_denominator,coverage_denominator,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,500,500,0,1e-12,passed
weak_dml_3_coverage_gap,coverage_gap,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,-0.022,-0.022,0,1e-12,passed
