estimator_label,dgp,n,p,pi,tau,replications,resolved_replications,unresolved_replications,convergence_rate,bias,median_bias,mae,rmse,estimate_sd,empirical_coverage,coverage_mcse,coverage_mc95_lower,coverage_mc95_upper,mean_cr_length,median_cr_length,full_grid_rate,empty_region_rate,disconnected_region_rate,unresolved_rate,boundary_estimate_rate,iteration_warning_rate,rank_failure_rate,refinement_limit_rate,numerical_limit_rate,mean_selected_controls,median_selected_controls,min_selected_controls,max_selected_controls,mean_retained_instruments
DML-IVQR,dgp2,500,500,0.1,0.5,500,500,0,1,0.0756,0,1.1644,1.328246965,1.327421839,0.952,0.009559916318,0.933262564,0.970737436,3.781375027,4,0.746,,,0,0.172,,,,,,,,,
DML-IVQR,dgp2,500,500,0.1,0.75,500,499,1,1,-0.3920897502,-0.2744897502,1.114036729,1.323232637,1.26507354,0.9478957916,0.009948702082,0.9283963355,0.9673952477,3.790508278,4,0.796,,,0.002,0.16,,,,,,,,,
DML-IVQR,dgp2,500,500,0.25,0.25,500,500,0,1,0.3724897502,0.2744897502,1.09631836,1.304248678,1.251178202,0.954,0.009368457717,0.9356378229,0.9723621771,3.676910899,4,0.65,,,0,0.142,,,,,,,,,
DML-IVQR,dgp2,500,500,0.25,0.5,500,499,1,1,-0.0632,0,1.0488,1.223830054,1.223421137,0.9398797595,0.01064133781,0.9190227374,0.9607367816,3.610999859,4,0.546,,,0.002,0.12,,,,,,,,,
DML-IVQR,dgp2,500,500,0.25,0.75,500,499,1,1,-0.3524897502,-0.0744897502,1.08053877,1.299355619,1.25188275,0.9438877756,0.01030240577,0.9236950603,0.9640804909,3.649631945,4,0.654,,,0.002,0.166,,,,,,,,,
DML-IVQR,dgp2,500,500,0.5,0.25,500,500,0,1,0.0880897502,0.0744897502,0.877395918,1.064882549,1.06229562,0.946,0.01010781876,0.9261886752,0.9658113248,3.311294776,3.591325749,0.36,,,0,0.138,,,,,,,,,
DML-IVQR,dgp2,500,500,0.5,0.5,500,500,0,1,-0.0396,0,0.7988,0.9884533373,0.9886489232,0.944,0.01028241217,0.9238464722,0.9641535278,3.296228251,3.429484229,0.244,,,0,0.06,,,,,,,,,
DML-IVQR,dgp2,500,500,0.5,0.75,500,500,0,1,-0.1900897502,-0.0744897502,0.821669385,1.022453301,1.00563375,0.956,0.009172131704,0.9380226219,0.9739773781,3.398355476,3.79272064,0.42,,,0,0.088,,,,,,,,,
DML-IVQR,dgp2,500,500,1,0.25,500,500,0,1,-0.0331102498,-0.1255102498,0.596306123,0.7285043093,0.728480341,0.962,0.008550555538,0.9452409111,0.9787590889,2.684581388,2.610678,0.046,,,0,0.042,,,,,,,,,
DML-IVQR,dgp2,500,500,1,0.5,500,500,0,1,0.01,0,0.5164,0.6644697134,0.6650598539,0.936,0.01094568408,0.9145464592,0.9574535408,2.431981598,2.40866441,0.006,,,0,0.008,,,,,,,,,
DML-IVQR,dgp2,500,500,1,0.75,500,500,0,1,-0.1440897502,-0.0744897502,0.549016319,0.7192758137,0.7054013198,0.956,0.009172131704,0.9380226219,0.9739773781,2.674084816,2.621453864,0.072,,,0,0.028,,,,,,,,,
DML-IVQR,dgp2,1000,200,0.1,0.25,500,500,0,1,0.5560897502,0.4744897502,1.145485704,1.374924453,1.258709712,0.962,0.008550555538,0.9452409111,0.9787590889,3.755601526,4,0.74,,,0,0.148,,,,,,,,,
