dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,mean_failed_alpha_count,mean_selected_controls,mean_runtime_seconds,expected_replications,observed_replications,completion_rate
dgp1,1000,200,0.1,0.5,post_selection_ivqr,10,10,-0.2,-0.25,0.806225774829855,0.6,0.3,0.3,2.15,2.15,0.0,0.0,0.0,0.3,,0.0,23.0,9.949232369998935,,10,
dgp1,1000,200,0.1,0.75,dml_ivqr,10,10,-0.5244897501960816,0.0755102498039184,1.5580723661180658,1.15,0.8,0.8,3.6,3.6,0.0,0.0,0.0,0.2,,0.0,,22.168826710013672,,10,
dgp1,1000,200,0.1,0.75,oracle,10,10,-1.4244897501960814,-1.9244897501960816,1.8686013615572732,1.6895918001568653,0.0,0.0,2.15,2.15,0.0,0.0,0.0,0.2,,0.0,10.0,0.5968510699982289,,10,
dgp1,1000,200,0.1,0.75,post_selection_ivqr,10,10,-1.3244897501960815,-1.1744897501960816,1.7340049303201184,1.3895918001568652,0.2,0.2,2.3,2.3,0.0,0.0,0.0,0.6,,0.0,22.1,9.495370030001505,,10,
dgp1,1000,200,0.25,0.25,dml_ivqr,10,10,-0.17551024980391836,-0.3255102498039183,0.7302765556871135,0.6151020499607837,0.5,0.5,0.95,0.95,0.0,0.0,0.0,0.5,,0.0,,21.133615190000274,,10,
dgp1,1000,200,0.25,0.25,oracle,10,10,0.7244897501960816,0.6744897501960817,0.9473042795950944,0.8895918001568655,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,,0.0,10.0,0.4720525400014594,,10,
dgp1,1000,200,0.25,0.25,post_selection_ivqr,10,10,0.6244897501960816,0.6744897501960817,0.873205272602018,0.6895918001568653,0.1,0.1,0.2,0.2,0.0,0.0,0.6,0.0,,0.0,21.9,8.819667410000694,,10,
dgp1,1000,200,0.25,0.5,dml_ivqr,10,10,0.05,0.0,0.4743416490252569,0.35,1.0,1.0,0.9,0.9,0.0,0.0,0.0,0.0,,0.0,,26.927500190003776,,10,
dgp1,1000,200,0.25,0.5,oracle,10,10,0.1,-0.25,0.7745966692414834,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,,0.0,10.0,0.5916619900031946,,10,
dgp1,1000,200,0.25,0.5,post_selection_ivqr,10,10,-0.05,0.0,0.8803408430829505,0.65,0.3,0.3,0.45,0.45,0.0,0.0,0.4,0.0,,0.0,22.6,8.133035480009857,,10,
dgp1,1000,200,0.25,0.75,dml_ivqr,10,10,-0.3244897501960816,-0.1744897501960816,1.0038892359131635,0.6848979500392163,0.5,0.5,1.35,1.35,0.0,0.0,0.0,0.2,,0.0,,20.377210909995483,,10,
