dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,mean_failed_alpha_count,mean_selected_controls,mean_runtime_seconds,expected_replications,observed_replications,completion_rate
dgp1,500,500,1.0,0.5,oracle,10,10,0.0,0.0,0.22360679774997896,0.1,0.9,0.9,0.35357384379357065,0.35357384379357065,0.0,0.0,0.0,0.0,,0.0,10.0,0.46206775000318884,,10,
dgp1,500,500,1.0,0.5,post_selection_ivqr,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.3137141061224848,0.3137141061224848,0.0,0.0,0.0,0.0,,0.0,25.6,14.076894560008077,,10,
dgp1,500,500,1.0,0.75,dml_ivqr,10,10,-0.4244897501960816,-0.4244897501960816,0.4926373392481855,0.4244897501960816,0.4,0.4,0.9653829809932232,0.9653829809932232,0.0,0.0,0.0,0.0,,0.0,,35.16112926999922,,10,
dgp1,500,500,1.0,0.75,oracle,10,10,-0.1744897501960816,-0.1744897501960816,0.1744897501960816,0.1744897501960816,0.0,0.0,0.3587946887494361,0.3587946887494361,0.0,0.0,0.0,0.0,,0.0,10.0,0.6185015199996997,,10,
dgp1,500,500,1.0,0.75,post_selection_ivqr,10,10,-0.07448975019608159,-0.1744897501960816,0.213421467721208,0.20469385011764896,0.7,0.7,0.6037114303191595,0.6037114303191595,0.0,0.0,0.0,0.0,,0.0,18.8,11.237858509994112,,10,
dgp1,1000,200,0.5,0.25,dml_ivqr,10,10,0.2744897501960817,0.1744897501960817,0.3396242378905065,0.2744897501960817,0.8,0.8,0.8054872447348987,0.8054872447348987,0.0,0.0,0.0,0.0,,0.0,,23.128041800000936,,10,
dgp1,1000,200,0.5,0.25,oracle,10,10,0.6744897501960817,0.6744897501960817,0.6744897501960818,0.6744897501960817,0.0,0.0,0.3148887763696374,0.3148887763696374,0.0,0.0,0.0,0.0,,0.0,10.0,0.5779393199831248,,10,
dgp1,1000,200,0.5,0.25,post_selection_ivqr,10,10,0.5244897501960817,0.6744897501960817,0.6539032788270358,0.5895918001568653,0.0,0.0,0.27658080696142334,0.27658080696142334,0.0,0.0,0.0,0.1,,0.0,19.9,8.507644829998025,,10,
dgp1,1000,200,1.0,0.25,dml_ivqr,10,10,0.2244897501960817,0.1744897501960817,0.26999194051508124,0.2244897501960817,0.1,0.1,0.388371062411732,0.388371062411732,0.0,0.0,0.0,0.0,,0.0,,23.36607116999221,,10,
dgp1,1000,200,1.0,0.25,oracle,10,10,0.6744897501960817,0.6744897501960817,0.6744897501960818,0.6744897501960817,0.0,0.0,0.13793364701367306,0.13793364701367306,0.0,0.0,0.0,0.0,,0.0,10.0,0.41762703999411316,,10,
dgp1,1000,200,1.0,0.25,post_selection_ivqr,10,10,0.37448975019608166,0.1744897501960817,0.44748471817697155,0.37448975019608166,0.0,0.0,0.20088186270594202,0.20088186270594202,0.0,0.0,0.0,0.0,,0.0,22.6,9.11019661000464,,10,
dgp1,1000,200,1.0,0.5,dml_ivqr,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.26181995798837243,0.26181995798837243,0.0,0.0,0.0,0.0,,0.0,,40.82572591000353,,10,
dgp1,1000,200,1.0,0.5,oracle,10,10,0.05,0.0,0.27386127875258304,0.15,0.8,0.8,0.21346322100337548,0.21346322100337548,0.0,0.0,0.0,0.0,,0.0,10.0,0.6863699599984102,,10,
dgp1,1000,200,1.0,0.5,post_selection_ivqr,10,10,0.1,0.0,0.22360679774997896,0.1,1.0,1.0,0.23151089213367593,0.23151089213367593,0.0,0.0,0.0,0.0,,0.0,20.9,8.572968950012001,,10,
dgp1,1000,200,1.0,0.75,dml_ivqr,10,10,-0.12448975019608159,-0.1744897501960816,0.19492998205479525,0.18959180015686528,0.4,0.4,0.3216413225310482,0.3216413225310482,0.0,0.0,0.0,0.0,,0.0,,22.507022639986825,,10,
dgp1,1000,200,1.0,0.75,oracle,10,10,-0.1744897501960816,-0.1744897501960816,0.1744897501960816,0.1744897501960816,0.0,0.0,0.17580619538028072,0.17580619538028072,0.0,0.0,0.0,0.0,,0.0,10.0,0.5062224300170783,,10,
dgp1,1000,200,1.0,0.75,post_selection_ivqr,10,10,-0.1744897501960816,-0.1744897501960816,0.1744897501960816,0.1744897501960816,0.0,0.0,0.16794503313835496,0.16794503313835496,0.0,0.0,0.0,0.0,,0.0,21.6,9.4811001000111,,10,
