dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,avg_cr_hull_length,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,alpha_hat_boundary_rate,cr_boundary_hit_rate,mean_failed_alpha_count,mean_failed_alpha_rate,mean_selected_controls,critical_value_multiplier,mean_critical_value_adjusted,mean_runtime_seconds,mean_runtime_total_sec,median_runtime_total_sec,mean_runtime_alpha_grid_sec,mean_runtime_confidence_region_sec,mean_dml_runtime_crossfit_sec,mean_ps_runtime_selection_sec,expected_replications,observed_replications,completion_rate
dgp1,500,500,0.5,0.75,dml_ivqr,10,10,-0.7544897501960814,-0.5744897501960815,1.1911569095425443,0.8697959000784327,0.9,0.9,2.759552236248978,2.759552236248978,2.9130390725180626,0.0,0.0,0.0,0.3,0.0,0.0,0.8,0.0,0.0,,1.0,3.841458820694124,68.87708747001015,68.87708747001015,68.99009015003685,68.82538032000302,0.0005750300129875,0.050694559991825316,,10,10,1.0
dgp1,500,500,1.0,0.25,dml_ivqr,10,10,0.6544897501960818,0.7744897501960818,0.7899093828482667,0.6795918001568655,0.6,0.6,1.7190413711935182,1.7190413711935182,1.8600867508395922,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,,1.0,3.841458820694124,67.63883065001573,67.63883065001573,67.81318155003828,67.58590923000592,0.0007216500001959099,0.051767900015693126,,10,10,1.0
dgp1,500,500,1.0,0.5,dml_ivqr,10,10,-0.039999999999999834,-0.19999999999999996,0.48989794855663577,0.4000000000000001,0.8,0.8,1.6889116936388486,1.6889116936388486,1.7356408733413453,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,,1.0,3.841458820694124,85.82411287999712,85.82411287999712,85.874620949995,85.76758580999449,0.00072320999461221,0.05536049000220369,,10,10,1.0
dgp1,500,500,1.0,0.75,dml_ivqr,10,10,-0.19448975019608145,-0.0744897501960815,0.6445356956223094,0.5348979500392164,0.8,0.8,1.9585105132986205,1.9585105132986205,1.9589018210905529,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,,1.0,3.841458820694124,68.78567098998465,68.78567098998465,68.87996399996337,68.73573983000242,0.00071771000511939,0.04876217001001346,,10,10,1.0
dgp1,1000,200,0.1,0.25,dml_ivqr,10,10,0.13448975019608186,0.07448975019608173,1.2076785552901919,1.1,1.0,1.0,3.459170779657407,3.459170779657407,3.749316584740753,0.0,0.0,0.0,0.3,0.1,0.1,0.9,0.0,0.0,,1.0,3.841458820694124,42.096064139989906,42.096064139989906,42.0545583999774,42.064161109999986,0.0006667499954346,0.0308915200119372,,10,10,1.0
dgp1,1000,200,0.1,0.5,dml_ivqr,10,10,1.554312234475219e-16,0.30000000000000027,1.28062484748657,1.0400000000000003,1.0,1.0,3.785245196585426,3.785245196585426,3.8117225006664386,0.0,0.0,0.0,0.3,0.1,0.1,1.0,0.0,0.0,,1.0,3.841458820694124,50.5915018199943,50.5915018199943,50.74185504997149,50.55709947999567,0.00061786000151181,0.033424100012052746,,10,10,1.0
dgp1,1000,200,0.1,0.75,dml_ivqr,10,10,0.0855102498039185,0.4255102498039185,1.094400293686697,0.9451020499607836,1.0,1.0,3.495981498309945,3.495981498309945,3.823612893687097,0.0,0.0,0.0,0.3,0.1,0.1,1.0,0.0,0.0,,1.0,3.841458820694124,41.742262259998824,41.742262259998824,41.68818934998126,41.710593820002394,0.0006140300130936699,0.030724090005969578,,10,10,1.0
dgp1,1000,200,0.25,0.25,dml_ivqr,10,10,0.03448975019608179,-0.12551024980391826,1.0428756123663974,0.7600000000000002,1.0,1.0,3.0010623801238188,3.0010623801238188,3.18645932817414,0.0,0.0,0.0,0.5,0.1,0.1,1.0,0.0,0.0,,1.0,3.841458820694124,41.701896760013184,41.701896760013184,41.88502004998736,41.66640181000112,0.0006878499931189901,0.034490909992018676,,10,10,1.0
dgp1,1000,200,0.25,0.5,dml_ivqr,10,10,-0.21999999999999992,1.1102230246251565e-16,0.7874007874011811,0.66,1.0,1.0,2.5503890362767785,2.5503890362767785,2.6712198541342196,0.0,0.0,0.0,0.2,0.0,0.0,0.7,0.0,0.0,,1.0,3.841458820694124,50.26877895001671,50.26877895001671,50.32666175003396,50.23814159000758,0.00060115000233049,0.029709120007464635,,10,10,1.0
dgp1,1000,200,0.25,0.75,dml_ivqr,10,10,-0.7744897501960815,-0.37448975019608155,1.3423242429304436,0.9697959000784326,0.9,0.9,3.3578254018564904,3.3578254018564904,3.4229229761789854,0.0,0.0,0.0,0.2,0.1,0.1,1.0,0.0,0.0,,1.0,3.841458820694124,42.16036349000642,42.16036349000642,42.23623070001486,42.13041808000416,0.0005340399977284899,0.02910453999065789,,10,10,1.0
